pca,results,kNN,LDA,SVM,Random Forest,AdaBoost,MLP
75,"{'n_neighbors': 17, 'weights': 'uniform'}",{},"{'C': 0.015625, 'decision_function_shape': 'ovo', 'gamma': 0.015625}","{'min_samples_split': 1024, 'n_estimators': 10}","{'learning_rate': 1.0, 'n_estimators': 30}","{'activation': 'identity', 'hidden_layer_sizes': (16, 16), 'learning_rate_init': 1.0}"
80,"{'n_neighbors': 17, 'weights': 'uniform'}",{},"{'C': 0.015625, 'decision_function_shape': 'ovo', 'gamma': 0.015625}","{'min_samples_split': 1024, 'n_estimators': 10}","{'learning_rate': 1.0, 'n_estimators': 30}","{'activation': 'logistic', 'hidden_layer_sizes': (8,), 'learning_rate_init': 1.0}"
85,"{'n_neighbors': 17, 'weights': 'uniform'}",{},"{'C': 0.015625, 'decision_function_shape': 'ovo', 'gamma': 0.015625}","{'min_samples_split': 16, 'n_estimators': 20}","{'learning_rate': 1.0, 'n_estimators': 30}","{'activation': 'relu', 'hidden_layer_sizes': (32, 8), 'learning_rate_init': 0.1}"
90,"{'n_neighbors': 21, 'weights': 'distance'}",{},"{'C': 0.015625, 'decision_function_shape': 'ovo', 'gamma': 0.015625}","{'min_samples_split': 16, 'n_estimators': 60}","{'learning_rate': 0.01, 'n_estimators': 80}","{'activation': 'identity', 'hidden_layer_sizes': (), 'learning_rate_init': 1.0}"
95,"{'n_neighbors': 24, 'weights': 'distance'}",{},"{'C': 0.015625, 'decision_function_shape': 'ovo', 'gamma': 0.015625}","{'min_samples_split': 16, 'n_estimators': 80}","{'learning_rate': 1.0, 'n_estimators': 40}","{'activation': 'identity', 'hidden_layer_sizes': (32, 16), 'learning_rate_init': 1.0}"
100,"{'n_neighbors': 3, 'weights': 'distance'}",{},"{'C': 4.0, 'decision_function_shape': 'ovo', 'gamma': 0.015625}","{'min_samples_split': 4, 'n_estimators': 80}","{'learning_rate': 0.1, 'n_estimators': 90}","{'activation': 'relu', 'hidden_layer_sizes': (64, 16), 'learning_rate_init': 0.01}"
