pca,results,kNN,LDA,SVM,Random Forest,AdaBoost,MLP
75,"{'n_neighbors': 9, 'weights': 'uniform'}",{},"{'C': 0.015625, 'decision_function_shape': 'ovo', 'gamma': 0.015625}","{'min_samples_split': 2, 'n_estimators': 10}","{'learning_rate': 0.001, 'n_estimators': 50}","{'activation': 'identity', 'hidden_layer_sizes': (64, 16), 'learning_rate_init': 10.0}"
80,"{'n_neighbors': 9, 'weights': 'uniform'}",{},"{'C': 0.015625, 'decision_function_shape': 'ovo', 'gamma': 0.015625}","{'min_samples_split': 4, 'n_estimators': 10}","{'learning_rate': 0.001, 'n_estimators': 50}","{'activation': 'identity', 'hidden_layer_sizes': (16,), 'learning_rate_init': 0.1}"
85,"{'n_neighbors': 9, 'weights': 'uniform'}",{},"{'C': 0.015625, 'decision_function_shape': 'ovo', 'gamma': 0.015625}","{'min_samples_split': 2, 'n_estimators': 30}","{'learning_rate': 0.001, 'n_estimators': 50}","{'activation': 'identity', 'hidden_layer_sizes': (64, 8), 'learning_rate_init': 0.1}"
90,"{'n_neighbors': 9, 'weights': 'uniform'}",{},"{'C': 0.015625, 'decision_function_shape': 'ovo', 'gamma': 0.015625}","{'min_samples_split': 2, 'n_estimators': 40}","{'learning_rate': 0.001, 'n_estimators': 50}","{'activation': 'identity', 'hidden_layer_sizes': (16, 16), 'learning_rate_init': 0.01}"
95,"{'n_neighbors': 17, 'weights': 'distance'}",{},"{'C': 0.015625, 'decision_function_shape': 'ovo', 'gamma': 0.015625}","{'min_samples_split': 2, 'n_estimators': 40}","{'learning_rate': 1.0, 'n_estimators': 60}","{'activation': 'identity', 'hidden_layer_sizes': (32, 8), 'learning_rate_init': 0.1}"
100,"{'n_neighbors': 3, 'weights': 'distance'}",{},"{'C': 4.0, 'decision_function_shape': 'ovo', 'gamma': 0.015625}","{'min_samples_split': 8, 'n_estimators': 90}","{'learning_rate': 0.1, 'n_estimators': 30}","{'activation': 'tanh', 'hidden_layer_sizes': (32, 8), 'learning_rate_init': 0.1}"
