pca,results,kNN,LDA,SVM,Random Forest,AdaBoost,MLP
75,"{'n_neighbors': 16, 'weights': 'uniform'}",{},"{'C': 0.015625, 'decision_function_shape': 'ovo', 'gamma': 0.015625}","{'min_samples_split': 4, 'n_estimators': 10}","{'learning_rate': 1.0, 'n_estimators': 40}","{'activation': 'identity', 'hidden_layer_sizes': (8,), 'learning_rate_init': 1.0}"
80,"{'n_neighbors': 16, 'weights': 'uniform'}",{},"{'C': 0.015625, 'decision_function_shape': 'ovo', 'gamma': 0.015625}","{'min_samples_split': 4, 'n_estimators': 10}","{'learning_rate': 1.0, 'n_estimators': 40}","{'activation': 'relu', 'hidden_layer_sizes': (), 'learning_rate_init': 10.0}"
85,"{'n_neighbors': 16, 'weights': 'uniform'}",{},"{'C': 0.015625, 'decision_function_shape': 'ovo', 'gamma': 0.015625}","{'min_samples_split': 8, 'n_estimators': 10}","{'learning_rate': 1.0, 'n_estimators': 40}","{'activation': 'logistic', 'hidden_layer_sizes': (32,), 'learning_rate_init': 1.0}"
90,"{'n_neighbors': 13, 'weights': 'uniform'}",{},"{'C': 0.015625, 'decision_function_shape': 'ovo', 'gamma': 0.015625}","{'min_samples_split': 8, 'n_estimators': 10}","{'learning_rate': 1.0, 'n_estimators': 30}","{'activation': 'identity', 'hidden_layer_sizes': (64, 8), 'learning_rate_init': 0.01}"
95,"{'n_neighbors': 23, 'weights': 'uniform'}",{},"{'C': 0.015625, 'decision_function_shape': 'ovo', 'gamma': 0.015625}","{'min_samples_split': 64, 'n_estimators': 20}","{'learning_rate': 0.1, 'n_estimators': 60}","{'activation': 'logistic', 'hidden_layer_sizes': (8,), 'learning_rate_init': 0.001}"
100,"{'n_neighbors': 1, 'weights': 'uniform'}",{},"{'C': 4.0, 'decision_function_shape': 'ovo', 'gamma': 0.015625}","{'min_samples_split': 16, 'n_estimators': 80}","{'learning_rate': 0.1, 'n_estimators': 80}","{'activation': 'relu', 'hidden_layer_sizes': (64, 64), 'learning_rate_init': 0.01}"
