pca,results,kNN,LDA,SVM,Random Forest,AdaBoost,MLP
75,"{'n_neighbors': 10, 'weights': 'uniform'}",{},"{'C': 0.015625, 'decision_function_shape': 'ovo', 'gamma': 0.015625}","{'min_samples_split': 8, 'n_estimators': 10}","{'learning_rate': 0.01, 'n_estimators': 60}","{'activation': 'identity', 'hidden_layer_sizes': (16, 16), 'learning_rate_init': 1.0}"
80,"{'n_neighbors': 10, 'weights': 'uniform'}",{},"{'C': 0.015625, 'decision_function_shape': 'ovo', 'gamma': 0.015625}","{'min_samples_split': 8, 'n_estimators': 80}","{'learning_rate': 0.01, 'n_estimators': 60}","{'activation': 'relu', 'hidden_layer_sizes': (), 'learning_rate_init': 10.0}"
85,"{'n_neighbors': 10, 'weights': 'uniform'}",{},"{'C': 0.015625, 'decision_function_shape': 'ovo', 'gamma': 0.015625}","{'min_samples_split': 8, 'n_estimators': 80}","{'learning_rate': 0.01, 'n_estimators': 60}","{'activation': 'tanh', 'hidden_layer_sizes': (64,), 'learning_rate_init': 1.0}"
90,"{'n_neighbors': 9, 'weights': 'uniform'}",{},"{'C': 0.015625, 'decision_function_shape': 'ovo', 'gamma': 0.015625}","{'min_samples_split': 4, 'n_estimators': 100}","{'learning_rate': 1.0, 'n_estimators': 20}","{'activation': 'identity', 'hidden_layer_sizes': (16, 8), 'learning_rate_init': 10.0}"
95,"{'n_neighbors': 10, 'weights': 'uniform'}",{},"{'C': 0.015625, 'decision_function_shape': 'ovo', 'gamma': 0.015625}","{'min_samples_split': 8, 'n_estimators': 40}","{'learning_rate': 1.0, 'n_estimators': 90}","{'activation': 'identity', 'hidden_layer_sizes': (32, 16), 'learning_rate_init': 0.01}"
100,"{'n_neighbors': 4, 'weights': 'distance'}",{},"{'C': 4.0, 'decision_function_shape': 'ovo', 'gamma': 0.015625}","{'min_samples_split': 2, 'n_estimators': 100}","{'learning_rate': 0.1, 'n_estimators': 90}","{'activation': 'relu', 'hidden_layer_sizes': (64,), 'learning_rate_init': 0.01}"
