pca,results,kNN,LDA,SVM,Random Forest,AdaBoost,MLP
75,0.186,0.198,0.192,0.202,0.192,0.198
80,0.186,0.198,0.192,0.206,0.192,0.192
85,0.186,0.198,0.192,0.206,0.192,0.196
90,0.186,0.202,0.192,0.192,0.176,0.192
95,0.19,0.202,0.192,0.19,0.184,0.202
100,0.044,0.048,0.042,0.042,0.052,0.032
